x-coordinate,y-coordinate,class
141.625,26.641,t_shirt
140.981,25.781,t_shirt
140.981,24.922,t_shirt
140.338,24.063,t_shirt
139.694,24.063,t_shirt
139.05,24.922,t_shirt
139.05,25.781,t_shirt
137.763,27.5,t_shirt
133.9,27.5,t_shirt
133.256,28.359,t_shirt
132.613,28.359,t_shirt
131.325,30.078,t_shirt
130.681,30.078,t_shirt
130.038,30.938,t_shirt
121.669,30.938,t_shirt
121.025,31.797,t_shirt
119.738,31.797,t_shirt
118.45,33.516,t_shirt
117.163,33.516,t_shirt
116.519,34.375,t_shirt
88.838,34.375,t_shirt
88.194,35.234,t_shirt
85.619,35.234,t_shirt
85.619,39.531,t_shirt
86.906,41.25,t_shirt
86.906,42.109,t_shirt
87.55,42.969,t_shirt
87.55,46.406,t_shirt
88.194,47.266,t_shirt
88.194,48.984,t_shirt
89.481,50.703,t_shirt
89.481,52.422,t_shirt
90.125,53.281,t_shirt
90.125,57.578,t_shirt
90.769,58.438,t_shirt
90.769,60.156,t_shirt
92.056,61.875,t_shirt
92.056,63.594,t_shirt
92.7,64.453,t_shirt
92.7,73.906,t_shirt
93.344,74.766,t_shirt
93.344,78.203,t_shirt
93.988,79.063,t_shirt
93.988,80.781,t_shirt
94.631,81.641,t_shirt
94.631,85.078,t_shirt
95.275,85.938,t_shirt
95.275,96.25,t_shirt
94.631,97.109,t_shirt
94.631,100.547,t_shirt
93.988,101.406,t_shirt
93.988,102.266,t_shirt
93.344,103.125,t_shirt
93.344,105.703,t_shirt
92.7,106.563,t_shirt
92.7,112.578,t_shirt
92.056,113.438,t_shirt
92.056,114.297,t_shirt
90.769,116.016,t_shirt
90.769,117.734,t_shirt
90.125,118.594,t_shirt
90.125,122.031,t_shirt
89.481,122.891,t_shirt
89.481,123.75,t_shirt
88.194,125.469,t_shirt
88.194,126.328,t_shirt
87.55,127.188,t_shirt
87.55,128.906,t_shirt
85.619,131.484,t_shirt
85.619,132.344,t_shirt
84.975,133.203,t_shirt
84.975,134.922,t_shirt
82.4,138.359,t_shirt
82.4,139.219,t_shirt
79.825,142.656,t_shirt
79.825,143.516,t_shirt
77.25,146.953,t_shirt
77.25,147.813,t_shirt
74.031,152.109,t_shirt
74.031,152.969,t_shirt
73.388,153.828,t_shirt
72.744,153.828,t_shirt
71.456,155.547,t_shirt
70.813,155.547,t_shirt
68.881,158.125,t_shirt
68.238,158.125,t_shirt
65.663,161.563,t_shirt
65.019,161.563,t_shirt
64.375,162.422,t_shirt
63.731,162.422,t_shirt
62.444,164.141,t_shirt
61.8,164.141,t_shirt
61.156,165.0,t_shirt
60.513,165.0,t_shirt
58.581,167.578,t_shirt
57.938,167.578,t_shirt
57.294,168.438,t_shirt
56.65,168.438,t_shirt
56.006,169.297,t_shirt
55.363,169.297,t_shirt
53.431,171.875,t_shirt
52.144,171.875,t_shirt
51.5,172.734,t_shirt
50.856,172.734,t_shirt
50.213,173.594,t_shirt
48.925,173.594,t_shirt
48.281,174.453,t_shirt
46.35,174.453,t_shirt
45.706,175.313,t_shirt
42.488,175.313,t_shirt
41.844,176.172,t_shirt
41.844,189.063,t_shirt
41.2,189.922,t_shirt
41.2,212.266,t_shirt
40.556,213.125,t_shirt
40.556,216.563,t_shirt
39.913,217.422,t_shirt
39.913,223.438,t_shirt
39.269,224.297,t_shirt
39.269,228.594,t_shirt
38.625,229.453,t_shirt
38.625,275.0,t_shirt
37.981,275.859,t_shirt
37.981,278.438,t_shirt
37.338,279.297,t_shirt
37.338,281.016,t_shirt
36.694,281.875,t_shirt
36.694,285.313,t_shirt
36.05,286.172,t_shirt
36.05,298.203,t_shirt
35.406,299.063,t_shirt
35.406,300.781,t_shirt
34.119,302.5,t_shirt
34.119,305.938,t_shirt
33.475,306.797,t_shirt
33.475,352.344,t_shirt
32.831,353.203,t_shirt
32.831,354.922,t_shirt
32.188,355.781,t_shirt
32.188,356.641,t_shirt
31.544,357.5,t_shirt
31.544,358.359,t_shirt
30.9,359.219,t_shirt
30.9,366.953,t_shirt
30.256,367.813,t_shirt
30.256,368.672,t_shirt
29.613,369.531,t_shirt
29.613,370.391,t_shirt
28.969,371.25,t_shirt
28.969,372.969,t_shirt
28.325,373.828,t_shirt
28.325,378.125,t_shirt
27.681,378.984,t_shirt
27.681,379.844,t_shirt
26.394,381.563,t_shirt
26.394,382.422,t_shirt
25.75,383.281,t_shirt
25.75,394.453,t_shirt
25.106,395.313,t_shirt
25.106,399.609,t_shirt
24.463,400.469,t_shirt
24.463,402.188,t_shirt
23.819,403.047,t_shirt
23.819,407.344,t_shirt
23.175,408.203,t_shirt
23.175,423.672,t_shirt
22.531,424.531,t_shirt
22.531,427.969,t_shirt
23.175,428.828,t_shirt
23.175,447.734,t_shirt
23.819,448.594,t_shirt
23.819,449.453,t_shirt
56.65,449.453,t_shirt
57.294,448.594,t_shirt
59.869,448.594,t_shirt
60.513,447.734,t_shirt
61.8,447.734,t_shirt
62.444,446.875,t_shirt
65.019,446.875,t_shirt
65.663,446.016,t_shirt
131.325,446.016,t_shirt
131.969,445.156,t_shirt
143.556,445.156,t_shirt
144.2,446.016,t_shirt
156.431,446.016,t_shirt
157.075,446.875,t_shirt
165.444,446.875,t_shirt
166.731,448.594,t_shirt
166.088,449.453,t_shirt
163.513,449.453,t_shirt
162.869,450.313,t_shirt
159.65,450.313,t_shirt
204.713,450.313,t_shirt
192.481,450.313,t_shirt
191.838,449.453,t_shirt
187.975,449.453,t_shirt
187.331,448.594,t_shirt
187.331,447.734,t_shirt
187.975,446.875,t_shirt
193.769,446.875,t_shirt
194.413,446.016,t_shirt
195.056,446.016,t_shirt
195.7,446.875,t_shirt
196.988,446.875,t_shirt
197.631,446.016,t_shirt
281.319,446.016,t_shirt
281.963,445.156,t_shirt
291.619,445.156,t_shirt
292.263,446.016,t_shirt
361.144,446.016,t_shirt
364.363,441.719,t_shirt
364.363,439.141,t_shirt
365.006,438.281,t_shirt
365.006,425.391,t_shirt
364.363,424.531,t_shirt
364.363,422.813,t_shirt
363.075,421.094,t_shirt
363.075,420.234,t_shirt
362.431,419.375,t_shirt
362.431,415.078,t_shirt
361.788,414.219,t_shirt
361.788,412.5,t_shirt
360.5,410.781,t_shirt
360.5,409.922,t_shirt
359.856,409.063,t_shirt
359.856,402.188,t_shirt
359.213,401.328,t_shirt
359.213,399.609,t_shirt
358.569,398.75,t_shirt
358.569,397.891,t_shirt
357.925,397.031,t_shirt
357.925,395.313,t_shirt
357.281,394.453,t_shirt
357.281,386.719,t_shirt
356.638,385.859,t_shirt
356.638,384.141,t_shirt
355.35,382.422,t_shirt
355.35,380.703,t_shirt
354.706,379.844,t_shirt
354.706,372.109,t_shirt
354.063,371.25,t_shirt
354.063,370.391,t_shirt
352.775,368.672,t_shirt
352.775,366.953,t_shirt
352.131,366.094,t_shirt
352.131,299.922,t_shirt
351.488,299.063,t_shirt
351.488,286.172,t_shirt
352.131,285.313,t_shirt
352.131,232.891,t_shirt
352.775,232.031,t_shirt
352.775,227.734,t_shirt
353.419,226.875,t_shirt
353.419,221.719,t_shirt
352.775,220.859,t_shirt
352.775,219.141,t_shirt
352.131,218.281,t_shirt
352.131,213.125,t_shirt
351.488,212.266,t_shirt
351.488,211.406,t_shirt
350.2,209.688,t_shirt
350.2,208.828,t_shirt
349.556,207.969,t_shirt
349.556,202.813,t_shirt
350.844,201.094,t_shirt
350.844,200.234,t_shirt
352.131,198.516,t_shirt
352.131,196.797,t_shirt
352.775,195.938,t_shirt
352.775,195.078,t_shirt
354.063,193.359,t_shirt
354.063,192.5,t_shirt
354.706,191.641,t_shirt
354.706,189.063,t_shirt
356.638,186.484,t_shirt
356.638,184.766,t_shirt
357.281,183.906,t_shirt
357.281,179.609,t_shirt
357.925,178.75,t_shirt
357.925,177.891,t_shirt
358.569,177.031,t_shirt
358.569,175.313,t_shirt
350.844,175.313,t_shirt
350.2,174.453,t_shirt
348.269,174.453,t_shirt
347.625,173.594,t_shirt
346.981,173.594,t_shirt
346.338,172.734,t_shirt
345.05,172.734,t_shirt
344.406,171.875,t_shirt
343.763,171.875,t_shirt
343.119,171.016,t_shirt
342.475,171.016,t_shirt
341.188,169.297,t_shirt
340.544,169.297,t_shirt
339.9,168.438,t_shirt
339.256,168.438,t_shirt
338.613,167.578,t_shirt
337.969,167.578,t_shirt
327.025,152.969,t_shirt
327.025,152.109,t_shirt
324.45,148.672,t_shirt
324.45,147.813,t_shirt
323.806,146.953,t_shirt
323.806,146.094,t_shirt
321.231,142.656,t_shirt
321.231,141.797,t_shirt
319.3,139.219,t_shirt
319.3,138.359,t_shirt
318.656,137.5,t_shirt
318.656,135.781,t_shirt
316.725,133.203,t_shirt
316.725,132.344,t_shirt
316.081,131.484,t_shirt
316.081,130.625,t_shirt
315.438,129.766,t_shirt
315.438,128.906,t_shirt
314.15,127.188,t_shirt
314.15,126.328,t_shirt
313.506,125.469,t_shirt
313.506,124.609,t_shirt
312.863,123.75,t_shirt
312.863,122.891,t_shirt
311.575,121.172,t_shirt
311.575,120.313,t_shirt
310.931,119.453,t_shirt
310.931,117.734,t_shirt
310.288,116.875,t_shirt
310.288,116.016,t_shirt
309.644,115.156,t_shirt
309.644,114.297,t_shirt
309.0,113.438,t_shirt
309.0,111.719,t_shirt
308.356,110.859,t_shirt
308.356,108.281,t_shirt
307.713,107.422,t_shirt
307.713,105.703,t_shirt
307.069,104.844,t_shirt
307.069,103.125,t_shirt
306.425,102.266,t_shirt
306.425,92.813,t_shirt
307.069,91.953,t_shirt
307.069,91.094,t_shirt
307.713,90.234,t_shirt
307.713,85.938,t_shirt
308.356,85.078,t_shirt
308.356,80.781,t_shirt
309.0,79.922,t_shirt
309.0,78.203,t_shirt
309.644,77.344,t_shirt
